City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,Severo-Kurilsk,50.6789,156.125,33.22,96,87,13.89,RU,2021-12-12 19:04:33
195,Haines Junction,60.7522,-137.5108,-16.06,98,97,1.9,CA,2021-12-12 19:06:32
196,Conceicao Da Barra,-18.5933,-39.7322,80.94,76,89,12.46,BR,2021-12-12 19:06:32
197,Pochutla,15.7432,-96.4661,89.82,49,0,8.12,MX,2021-12-12 19:04:16
198,Bengkulu,-3.8004,102.2655,75.47,90,99,3.87,ID,2021-12-12 19:06:33
199,Mahebourg,-20.4081,57.7,77.25,69,98,14.45,MU,2021-12-12 19:06:33
200,Banda Aceh,5.5577,95.3222,78.66,82,13,10.58,ID,2021-12-12 19:06:34
201,Taguatinga,-12.3857,-46.5711,83.19,74,100,4.85,BR,2021-12-12 19:06:34
202,Tabas,33.5959,56.9244,50.56,37,2,3.62,IR,2021-12-12 19:02:10
203,Valparaiso,-33.0393,-71.6273,67.48,53,0,18.7,CL,2021-12-12 19:01:41
204,Umm Lajj,25.0213,37.2685,77.45,44,100,2.21,SA,2021-12-12 19:06:35
205,Luang Prabang,19.8856,102.1347,60.1,91,0,1.54,LA,2021-12-12 19:06:35
206,Bambous Virieux,-20.3428,57.7575,77.22,68,100,14.67,MU,2021-12-12 19:06:35
207,Kodiak,57.79,-152.4072,12.22,72,13,30.58,US,2021-12-12 19:02:18
208,Georgiyevka,43.0369,74.7114,32.04,74,85,8.95,KZ,2021-12-12 19:06:36
209,Carnarvon,-24.8667,113.6333,69.87,73,0,16.11,AU,2021-12-12 19:06:36
210,Scarborough,54.2797,-0.4044,54.09,90,98,7.0,GB,2021-12-12 19:06:37
211,Margate,51.3813,1.3862,52.97,88,100,1.99,GB,2021-12-12 19:06:37
212,Bonthe,7.5264,-12.505,80.89,79,12,7.85,SL,2021-12-12 19:06:37
213,Cayenne,4.9333,-52.3333,77.04,92,90,1.01,GF,2021-12-12 19:06:38
214,Peruibe,-24.32,-46.9983,80.38,72,45,5.21,BR,2021-12-12 19:06:38
215,Rock Sound,24.9,-76.2,78.12,76,3,11.18,BS,2021-12-12 19:06:38
216,Vallenar,-28.5708,-70.7581,82.4,20,0,14.2,CL,2021-12-12 19:06:39
217,Vestmanna,62.1564,-7.1664,41.92,81,75,10.36,FO,2021-12-12 19:06:39
218,Mount Isa,-20.7333,139.5,62.37,34,1,0.0,AU,2021-12-12 19:03:24
219,Ostrovnoy,68.0531,39.5131,30.13,91,100,19.01,RU,2021-12-12 19:06:40
220,Thompson,55.7435,-97.8558,7.39,90,99,1.16,CA,2021-12-12 19:06:40
221,Dakar,14.6937,-17.4441,81.48,62,52,8.25,SN,2021-12-12 19:07:41
222,Yurla,59.3259,54.3223,7.12,90,84,4.76,RU,2021-12-12 19:07:41
223,Bulanash,57.2783,61.9965,19.26,60,50,11.81,RU,2021-12-12 19:07:41
224,Sao Filipe,14.8961,-24.4956,75.42,69,88,8.79,CV,2021-12-12 19:07:42
225,Lavrentiya,65.5833,-171.0,-13.4,84,1,4.76,RU,2021-12-12 19:07:42
226,Portland,45.5234,-122.6762,44.53,90,75,4.0,US,2021-12-12 19:06:00
227,Havre-Saint-Pierre,50.2334,-63.5986,31.1,72,74,36.53,CA,2021-12-12 19:07:42
228,Yasnyy,51.0333,59.8742,5.25,90,5,7.31,RU,2021-12-12 19:07:43
229,Meulaboh,4.1363,96.1285,76.51,90,85,5.44,ID,2021-12-12 19:07:43
230,Solnechnyy,50.7214,136.6319,13.68,91,100,8.63,RU,2021-12-12 19:03:02
231,Te Anau,-45.4167,167.7167,50.4,83,65,0.49,NZ,2021-12-12 19:07:44
232,Kruisfontein,-34.0033,24.7314,69.89,85,100,10.74,ZA,2021-12-12 19:07:44
233,Kirundo,-2.5833,30.1667,62.4,94,100,2.95,BI,2021-12-12 19:07:44
234,Necochea,-38.5473,-58.7368,72.03,49,100,18.1,AR,2021-12-12 19:07:45
235,Kazachinskoye,57.6953,93.2761,4.6,95,98,5.32,RU,2021-12-12 19:07:45
236,Iqaluit,63.7506,-68.5145,5.7,71,100,1.99,CA,2021-12-12 19:07:45
237,Dingle,10.9995,122.6711,75.42,93,100,7.72,PH,2021-12-12 19:07:46
238,Angola,-12.5,18.5,64.11,95,100,2.3,AO,2021-12-12 19:03:24
239,Santa Maria,-29.6842,-53.8069,88.93,37,80,4.59,BR,2021-12-12 19:07:46
240,Columbia,34.0007,-81.0348,59.0,34,1,1.99,US,2021-12-12 19:03:51
241,Alice Springs,-23.7,133.8833,67.55,42,27,6.91,AU,2021-12-12 19:07:47
242,Chuy,-33.6971,-53.4616,80.24,52,0,14.54,UY,2021-12-12 19:07:47
243,Taicheng,38.731,113.228,18.73,29,0,3.0,CN,2021-12-12 19:07:47
