City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Prieska,ZA,-29.6641,22.7474,72.1,60,100,11.03,overcast clouds
241,Cap Malheureux,MU,-19.9842,57.6142,73.47,80,100,1.99,light rain
242,Nouadhibou,MR,20.931,-17.0347,66.7,64,85,17.36,overcast clouds
243,Port-Gentil,GA,-0.7193,8.7815,79.38,80,100,3.62,overcast clouds
244,Geraldton,AU,-28.7667,114.6,59.41,77,67,10.36,broken clouds
245,Baykalsk,RU,51.5058,104.1469,21.0,76,61,4.29,broken clouds
246,Bayan,CN,46.0833,127.4,-2.72,95,21,4.74,few clouds
247,Moindou,NC,-21.6924,165.677,84.15,86,100,3.69,light rain
248,Lumeje,AO,-11.55,20.7833,69.17,83,100,4.63,light rain
249,Inverell,AU,-29.7833,151.1167,67.1,72,0,1.01,clear sky
250,Nobeoka,JP,32.5833,131.6667,45.75,80,2,8.21,clear sky
251,Lagoa,PT,39.05,-27.9833,57.96,51,100,24.45,overcast clouds
252,Provideniya,RU,64.3833,-173.3,-5.69,71,0,6.71,clear sky
253,Nuuk,GL,64.1835,-51.7216,20.01,86,20,21.85,light shower snow
254,Palafrugell,ES,41.9174,3.1631,49.46,92,1,1.99,clear sky
255,Jumla,NP,29.2747,82.1838,37.53,38,82,4.79,broken clouds
256,Bad Waldsee,DE,47.9167,9.7667,37.62,88,100,4.25,overcast clouds
257,Koroni,GR,36.8,21.95,52.07,74,94,10.69,overcast clouds
258,Karratha,AU,-20.7377,116.8463,86.09,24,0,10.87,clear sky
259,Poum,NC,-20.2333,164.0167,77.41,91,100,15.01,moderate rain
260,Salalah,OM,17.0151,54.0924,71.33,49,0,10.27,clear sky
261,Cortes,ES,41.9395,-1.4396,49.44,80,65,4.52,broken clouds
262,Trinidad,BO,-14.8333,-64.9,89.58,70,75,16.11,broken clouds
263,Saint-Pierre,RE,-21.3393,55.4781,76.68,74,20,12.66,few clouds
264,Khasan,RU,42.4308,130.6434,19.09,50,0,20.94,clear sky
265,Cedar City,US,37.6775,-113.0619,45.39,35,1,9.22,clear sky
266,Wanaka,NZ,-44.7,169.15,62.11,69,100,1.01,overcast clouds
267,El Carmen De Bolivar,CO,9.7174,-75.1202,84.7,62,62,3.8,broken clouds
268,Laguna,US,38.421,-121.4238,54.01,83,90,3.0,light rain
269,Rundu,NA,-17.9333,19.7667,66.94,86,77,6.2,broken clouds
270,Golden,US,39.7555,-105.2211,65.89,15,75,1.01,broken clouds
271,Kaabong,UG,3.4836,34.1492,68.22,55,97,11.86,overcast clouds
272,Yurino,RU,56.2942,46.3039,9.72,88,84,5.84,broken clouds
273,Nelson Bay,AU,-32.7167,152.15,68.0,78,78,1.99,broken clouds
